line_id,entry_id,period,voucher_type,voucher_subtype,line_no,posting_date,created_at,user,account,account_number,account_name,root_type,debit,credit,party_type,party,against,cost_center,remarks,company
00d35395f0,ACC-SINV-2025-00014,P1,Sales Invoice,Sales Invoice,1,2025-01-01,2025-01-01 17:46:23.074139,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,1492.8,,,Summit Rentals,Warehouse - MTC,Customer order Summit Rentals Jan 2025,Meridian Trading Co.
3a1b73e6d4,ACC-SINV-2025-00014,P1,Sales Invoice,Sales Invoice,2,2025-01-01,2025-01-01 17:46:23.074139,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,3203.59,0.0,Customer,Summit Rentals,"4120 - Service - MTC,4110 - Sales - MTC,4130 - Freight Income - MTC",,Customer order Summit Rentals Jan 2025,Meridian Trading Co.
a8d3b115e4,ACC-SINV-2025-00014,P1,Sales Invoice,Sales Invoice,3,2025-01-01,2025-01-01 17:46:23.074139,ar.clerk@meridian.example,4120 - Service - MTC,4120,Service,Income,0.0,759.26,,,Summit Rentals,Sales Ops - MTC,Customer order Summit Rentals Jan 2025,Meridian Trading Co.
c596c61b10,ACC-SINV-2025-00014,P1,Sales Invoice,Sales Invoice,4,2025-01-01,2025-01-01 17:46:23.074139,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,317.39,,,Summit Rentals,Sales Ops - MTC,Customer order Summit Rentals Jan 2025,Meridian Trading Co.
eab3650040,ACC-SINV-2025-00014,P1,Sales Invoice,Sales Invoice,5,2025-01-01,2025-01-01 17:46:23.074139,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,181.34,,,Summit Rentals,Admin - MTC,Customer order Summit Rentals Jan 2025,Meridian Trading Co.
fb276f5dc1,ACC-SINV-2025-00014,P1,Sales Invoice,Sales Invoice,6,2025-01-01,2025-01-01 17:46:23.074139,ar.clerk@meridian.example,4130 - Freight Income - MTC,4130,Freight Income,Income,0.0,452.8,,,Summit Rentals,Admin - MTC,Customer order Summit Rentals Jan 2025,Meridian Trading Co.
0c38a2db03,ACC-SINV-2025-00009,P1,Sales Invoice,Sales Invoice,1,2025-01-02,2025-01-02 16:26:42.884476,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,1146.54,,,Kestrel Foods,Sales Ops - MTC,Customer order Kestrel Foods Jan 2025,Meridian Trading Co.
0f34ebf128,ACC-SINV-2025-00009,P1,Sales Invoice,Sales Invoice,2,2025-01-02,2025-01-02 16:26:42.884476,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,309.12,,,Kestrel Foods,Warehouse - MTC,Customer order Kestrel Foods Jan 2025,Meridian Trading Co.
1094a803e7,ACC-SINV-2025-00009,P1,Sales Invoice,Sales Invoice,3,2025-01-02,2025-01-02 16:26:42.884476,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,1543.0,0.0,Customer,Kestrel Foods,4110 - Sales - MTC,,Customer order Kestrel Foods Jan 2025,Meridian Trading Co.
aede7b48b3,ACC-SINV-2025-00009,P1,Sales Invoice,Sales Invoice,4,2025-01-02,2025-01-02 16:26:42.884476,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,87.34,,,Kestrel Foods,Admin - MTC,Customer order Kestrel Foods Jan 2025,Meridian Trading Co.
351c45351c,ACC-SINV-2025-00017,P1,Sales Invoice,Sales Invoice,1,2025-01-02,2025-01-02 10:09:24.737840,ar.clerk@meridian.example,4130 - Freight Income - MTC,4130,Freight Income,Income,0.0,873.2,,,Redcedar Builders,Admin - MTC,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
3772fd5324,ACC-SINV-2025-00017,P1,Sales Invoice,Sales Invoice,2,2025-01-02,2025-01-02 10:09:24.737840,ar.clerk@meridian.example,ST 6% - MTC,,ST 6%,Liability,0.0,554.1,,,Redcedar Builders,Admin - MTC,Customer order Redcedar Builders Jan 2025,Meridian Trading Co.
