line_id,entry_id,period,voucher_type,voucher_subtype,line_no,posting_date,created_at,user,account,account_number,account_name,root_type,debit,credit,party_type,party,against,cost_center,remarks,company
2c823cd6c0,ACC-JV-2025-00056,P2,Journal Entry,Journal Entry,1,2025-07-01,2025-07-02 03:32:57.408744,batch.bot@meridian.example,5213 - Salary - MTC,5213,Salary,Expense,0.0,7501.23,,,2150 - Accrued Expenses - MTC,Admin - MTC,,Meridian Trading Co.
9dc6d047ca,ACC-JV-2025-00056,P2,Journal Entry,Journal Entry,2,2025-07-01,2025-07-02 03:32:57.408744,batch.bot@meridian.example,2150 - Accrued Expenses - MTC,2150,Accrued Expenses,Liability,24620.29,0.0,,,5213 - Salary - MTC,Admin - MTC,,Meridian Trading Co.
b221532b41,ACC-JV-2025-00056,P2,Journal Entry,Journal Entry,3,2025-07-01,2025-07-02 03:32:57.408744,batch.bot@meridian.example,5213 - Salary - MTC,5213,Salary,Expense,0.0,8612.76,,,2150 - Accrued Expenses - MTC,Warehouse - MTC,,Meridian Trading Co.
ee282dee3d,ACC-JV-2025-00056,P2,Journal Entry,Journal Entry,4,2025-07-01,2025-07-02 03:32:57.408744,batch.bot@meridian.example,5213 - Salary - MTC,5213,Salary,Expense,0.0,8506.3,,,2150 - Accrued Expenses - MTC,Sales Ops - MTC,,Meridian Trading Co.
02975d0fe0,ACC-PAY-2025-00373,P2,Payment Entry,Payment Entry,1,2025-07-01,2025-07-01 14:06:18.248285,ar.clerk@meridian.example,1310 - Debtors - MTC,1310,Debtors,Asset,0.0,560.88,Customer,Redcedar Builders,1210 - Primary Checking - MTC,,Amount USD 560.88 received from Redcedar Builders | Transaction reference no ACH-25-00280 dated 2025-07-01 | Amount USD 560.88 adjusted against Sales Invoice ACC-SINV-2025-00280,Meridian Trading Co.
a347c03c35,ACC-PAY-2025-00373,P2,Payment Entry,Payment Entry,2,2025-07-01,2025-07-01 14:06:18.248285,ar.clerk@meridian.example,1210 - Primary Checking - MTC,1210,Primary Checking,Asset,560.88,0.0,,,Redcedar Builders,,Amount USD 560.88 received from Redcedar Builders | Transaction reference no ACH-25-00280 dated 2025-07-01 | Amount USD 560.88 adjusted against Sales Invoice ACC-SINV-2025-00280,Meridian Trading Co.
1f88ef5648,ACC-PINV-2025-00189,P2,Purchase Invoice,Purchase Invoice,1,2025-07-01,2025-07-01 09:12:43.730396,ap.clerk@meridian.example,5111 - Cost of Goods Sold - MTC,5111,Cost of Goods Sold,Expense,9815.28,0.0,,,Orchard Wholesale,Warehouse - MTC,Orchard Wholesale July 2025 billing,Meridian Trading Co.
c9f3769111,ACC-PINV-2025-00189,P2,Purchase Invoice,Purchase Invoice,2,2025-07-01,2025-07-01 09:12:43.730396,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,9815.28,Supplier,Orchard Wholesale,5111 - Cost of Goods Sold - MTC,,Orchard Wholesale July 2025 billing,Meridian Trading Co.
51e3e773d1,ACC-PINV-2025-00195,P2,Purchase Invoice,Purchase Invoice,1,2025-07-01,2025-07-01 15:30:16.710394,ap.clerk@meridian.example,5205 - Freight and Forwarding Charges - MTC,5205,Freight and Forwarding Charges,Expense,2034.83,0.0,,,Beacon Freight,Admin - MTC,Beacon Freight July 2025 billing,Meridian Trading Co.
e99a570d51,ACC-PINV-2025-00195,P2,Purchase Invoice,Purchase Invoice,2,2025-07-01,2025-07-01 15:30:16.710394,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,2034.83,Supplier,Beacon Freight,5205 - Freight and Forwarding Charges - MTC,,Beacon Freight July 2025 billing,Meridian Trading Co.
48714bd82c,ACC-PINV-2025-00198,P2,Purchase Invoice,Purchase Invoice,1,2025-07-01,2025-07-01 16:52:01.672119,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,11382.93,Supplier,Beacon Freight,5205 - Freight and Forwarding Charges - MTC,,Beacon Freight July 2025 billing,Meridian Trading Co.
d822350897,ACC-PINV-2025-00198,P2,Purchase Invoice,Purchase Invoice,2,2025-07-01,2025-07-01 16:52:01.672119,ap.clerk@meridian.example,5205 - Freight and Forwarding Charges - MTC,5205,Freight and Forwarding Charges,Expense,11382.93,0.0,,,Beacon Freight,Admin - MTC,Beacon Freight July 2025 billing,Meridian Trading Co.
120b319c52,ACC-PINV-2025-00201,P2,Purchase Invoice,Purchase Invoice,1,2025-07-01,2025-07-01 18:22:35.048429,ap.clerk@meridian.example,5228 - Insurance Expense - MTC,5228,Insurance Expense,Expense,11454.63,0.0,,,Stateside Insurance,Admin - MTC,Stateside Insurance July 2025 billing,Meridian Trading Co.
2f66f6c15e,ACC-PINV-2025-00201,P2,Purchase Invoice,Purchase Invoice,2,2025-07-01,2025-07-01 18:22:35.048429,ap.clerk@meridian.example,2110 - Creditors - MTC,2110,Creditors,Liability,0.0,11454.63,Supplier,Stateside Insurance,5228 - Insurance Expense - MTC,,Stateside Insurance July 2025 billing,Meridian Trading Co.
9129cc6973,ACC-SINV-2025-00345,P2,Sales Invoice,Sales Invoice,1,2025-07-01,2025-07-01 15:44:33.408261,ar.clerk@meridian.example,4110 - Sales - MTC,4110,Sales,Income,0.0,68.46,,,Juniper & Co,Warehouse - MTC,Customer order Juniper & Co Jul 2025,Meridian Trading Co.
